Time Bin/node	0	1	2	3	4	5	6	7
0.138199	0.000000	0.000000	0.000000	0.000000	0.024609	0.027164	0.023179	0.027722
0.276398	0.000000	0.000000	0.000000	0.000000	0.013288	0.014150	0.020780	0.018933
0.414598	0.000000	0.000000	0.000000	0.000000	0.019551	0.012790	0.019039	0.019699
0.552797	0.088818	0.077134	0.084747	0.083500	0.019177	0.018621	0.018741	0.018611
0.690996	0.045971	0.053781	0.052742	0.053862	0.015918	0.016972	0.016942	0.012124
0.829195	0.011427	0.017444	0.018889	0.016900	0.013574	0.017516	0.013194	0.017867
0.967394	0.018678	0.020011	0.019936	0.020170	0.024445	0.014919	0.021169	0.012856
1.105594	0.013549	0.017204	0.016520	0.017214	0.019418	0.018522	0.019233	0.020108
1.243793	0.044885	0.044992	0.045488	0.042621	0.017372	0.018301	0.017477	0.018181
1.381992	0.009350	0.010530	0.011307	0.012465	0.019491	0.018280	0.016106	0.018235
1.520191	0.016711	0.018212	0.018641	0.018763	0.024865	0.012600	0.026182	0.017747
1.658390	0.014703	0.017794	0.016898	0.017543	0.019766	0.018742	0.014162	0.019066
1.796589	0.017167	0.017673	0.018645	0.016183	0.019418	0.018615	0.018874	0.020114
1.934789	0.042677	0.044753	0.043628	0.045290	0.013434	0.016924	0.018986	0.019402
2.072988	0.017253	0.014456	0.017179	0.013688	0.019473	0.019761	0.020373	0.019860
2.211187	0.016019	0.017507	0.018621	0.017671	0.017006	0.012749	0.017137	0.013797
2.349386	0.013725	0.016243	0.013615	0.017635	0.013707	0.023216	0.013658	0.026759
2.487585	0.014807	0.018608	0.019390	0.017720	0.018154	0.011806	0.015880	0.011809
2.625785	0.013838	0.016837	0.016136	0.017370	0.018858	0.023047	0.022012	0.021296
2.763984	0.045153	0.047810	0.047592	0.047312	0.013162	0.015931	0.032165	0.012342
2.902183	0.009944	0.011049	0.010921	0.011393	0.017489	0.018412	0.017873	0.011662
3.040382	0.025604	0.027206	0.028118	0.027637	0.014543	0.013168	0.014318	0.029478
3.178581	0.065661	0.064697	0.066093	0.063834	0.023027	0.034810	0.014419	0.016020
3.316781	0.013506	0.016833	0.015432	0.016699	0.012735	0.153703	0.019778	0.127170
3.454980	0.045315	0.013096	0.015774	0.011193	0.006194	0.086494	0.114094	0.006484
3.593179	0.018446	0.050326	0.050506	0.051227	0.282139	0.201017	0.212480	0.206765
3.731378	0.010637	0.015254	0.012338	0.016507	0.276398	0.159224	0.321413	0.176888
3.869577	0.000000	0.139009	0.139652	0.025555	0.160409	0.143262	0.167035	0.232005
4.007776	0.287614	0.300000	0.335158	0.274900	0.276137	0.251720	0.159314	0.145001
4.145976	0.297066	0.222986	0.182294	0.233444	0.209484	0.325570	0.343234	0.311828
4.284175	0.156791	0.132552	0.253266	0.262127	0.177203	0.248388	0.214733	0.238556
4.422374	0.278635	0.220440	0.204756	0.194997	0.286136	0.111798	0.210222	0.201636
4.560573	0.313387	0.233189	0.210357	0.284955	0.020013	0.114997	0.156909	0.138199
4.698772	0.086308	0.316839	0.276398	0.230305	0.000000	0.000000	0.071576	0.125853
4.836972	0.281875	0.173575	0.148844	0.169546	0.000000	0.000000	0.000000	0.000000
4.975171	0.078833	0.074630	0.167171	0.138199	0.000000	0.000000	0.000000	0.000000
5.113370	0.000000	0.000000	0.060354	0.071480	0.000000	0.000000	0.000000	0.000000
5.251569	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.389768	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.527968	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.666167	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.804366	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.942565	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
6.080764	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
6.218964	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
6.357163	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
6.495362	0.000000	0.000000	0.000000	0.000000	0.000074	0.000069	0.000075	0.000070
6.633561	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
6.771760	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
6.909959	0.000074	0.000072	0.000068	0.000072	0.000000	0.000000	0.000000	0.000000
node:thread/etype	MPI_Irecv    	MPI_Isend    	MPI_Wait     	MPI_Allreduce	MPI_Comm_rank	MPI_Comm_size	MPI_Finalize 	Running      
0:0	0.003492	0.011100	0.538385	0.080541	0.000168	0.000014	1.780729	2.667626
1:0	0.003344	0.009381	0.568231	0.089121	0.000166	0.000016	1.812483	2.632257
2:0	0.003181	0.009536	0.571213	0.096506	0.000158	0.000015	1.976866	2.621932
3:0	0.003307	0.010604	0.567318	0.093248	0.000165	0.000015	1.885318	2.627863
4:0	0.003451	0.010904	0.385568	0.021420	0.013690	0.000014	1.691622	2.841222
5:0	0.003253	0.010170	0.386103	0.017861	0.015119	0.000014	1.780738	2.848437
6:0	0.003556	0.011108	0.399215	0.026080	0.014351	0.000013	1.968440	2.857588
7:0	0.003539	0.010719	0.394346	0.016238	0.014918	0.000012	1.894371	2.852962
